review,rating,helpful_count,date,brand_reply,reply_date,sentiment,product,theme,month
"such bad experience of dot key app, i recently using dot key cica facewash last 3-4 months get very good results previously order from Amazon and blinkit which costly 300 including delivery charges, so i decided to give it try to give order offical website through Google which totally verified , and check the reviews over there, I am impressed yo see that, the totally combo is 1275/- of 3-4 things like sunscreen, facewash, serum, moisturizer, and free 1 more product. so I placed an order 8thMay",1,0,15-05-2026 18:21,"Hi, we are sorry that you faced an issue. Could you please share your contact details with us on care@dotandkey.com so that we can get in touch with you and resolve the issue. Regards- Team Dot & Key.",19-05-2026 08:44,Negative,Dot & Key App,"Delivery & Orders, App Experience, Product Quality",2026-05
products are the best but the delivery service is the worst.,3,0,14-05-2026 10:54,"Hi, please share the details of your issue by writing to us at care@dotandkey.com so that we can look into it & assist you in the best possible way. Regards- Team Dot & Key.",14-05-2026 11:37,Neutral,Dot & Key App,"Delivery & Orders, Customer Service, Product Quality",2026-05
"I’ve been using Dot & Key’s sunscreen and lip balm for a while now, and my experience has been really good so far. The sunscreen is lightweight, blends easily without a white cast, and feels comfortable on the skin. The lip balm is super moisturizing and perfect for daily use. Really happy with the quality and overall results. Highly recommended!",5,10,13-05-2026 11:33,"Thank you for providing your valuable feedback. Please reach out to us at care@dotandkey.com, if you have other suggestions. Regards- Team Dot & Key.",14-05-2026 08:26,Positive,Dot & Key App,"App Experience, Product Quality",2026-05
Good Product,5,0,13-05-2026 10:49,"Thank you for taking the time to write this review. Your kind words encourage us greatly. Happy shopping! Regards- Team Dot & Key.

",14-05-2026 08:27,Positive,Dot & Key App,Product Quality,2026-05
Awesome app! Purchasing products from this app is very easy.... The app interface is smooth and user-friendly n their buy 1 get 1 offers are honestly amazing....I absolutely love their products....whenever I’ve ordered from them I hv had a great experience.... The products suited my skin really well n my skin has become much better after using them,5,0,13-05-2026 10:45,"Thank you for taking the time to write this review. Your kind words encourage us greatly. Happy shopping! Regards- Team Dot & Key.

",14-05-2026 08:27,Positive,Dot & Key App,"Delivery & Orders, App Experience, Product Quality",2026-05
Products are really good for daily skin care.... Love with Dot&Key 💖,5,0,13-05-2026 10:33,"Thank you for taking the time to write this review. Your kind words encourage us greatly. Happy shopping! Regards- Team Dot & Key.

",14-05-2026 08:27,Positive,Dot & Key App,Product Quality,2026-05
their products is awsome,5,1,11-05-2026 06:43,Thank you for taking the time to write this review. Your kind words encourage us greatly. Happy shopping! Regards- Team Dot & Key.,11-05-2026 12:15,Positive,Dot & Key App,Product Quality,2026-05
"Dot & Key products have suited my skin well and helped reduce my acne, which I truly appreciate. However, I am 14 and most products are for 18+ users. As a teenager, I feel there is a need for a safe and affordable skincare range for ages 13–16. Many teens face issues like blackheads, pimples, and dark spots but cannot use strong or expensive products regularly. A budget-friendly teen range would be very helpful.",5,0,10-05-2026 09:54,Thank you for taking the time to write this review. Your kind words encourage us greatly. Happy shopping! Regards- Team Dot & Key.,11-05-2026 12:15,Positive,Dot & Key App,"App Experience, Product Quality",2026-05
"This app is very bad and provides extremely poor service. Please don’t buy any products from here. I made the payment for my order many days ago, but they have neither delivered the order nor refunded my money yet.",1,0,09-05-2026 15:33,"Hi,
Please accept our sincere apology. We are very sorry to know about your experience with us. Please let us know your order number at care@dotandkey.com and we promise to get this resolved quickly. Regards- Team Dot & Key.",11-05-2026 12:22,Negative,Dot & Key App,"Delivery & Orders, App Experience, Customer Service, Product Quality",2026-05
They launched the offer and u buy then they dont fullfill ur order .. and return ur money after 20 days . 60000 orders * 1000 = 6crore rs and in 15 days they earn 5 lakh rs intrest without dilivery total fruad,1,0,09-05-2026 12:27,"Hi, Please accept our sincere apology. We are very sorry to know about your experience with us. Please let us know your order number at care@dotandkey.com and we promise to get this resolved quickly. Regards- Team Dot & Key.

",11-05-2026 12:21,Negative,Dot & Key App,Delivery & Orders,2026-05
they have the worst customer service in india . these guys don't pick up your call not responding even after raising tickets . Its just an overhyped brand not worth a penny . Please don't waste your money.,1,0,08-05-2026 18:20,"Hi, Please accept our sincere apology. We are very sorry to know about your experience with us. Please let us know your order number at care@dotandkey.com and we promise to get this resolved quickly. Regards- Team Dot & Key.

",11-05-2026 12:19,Negative,Dot & Key App,Customer Service,2026-05
"i ordered on 29of march and till now I have no clue of delivery date . I even tried to contact the customer service but it's so worst they are not even replying im trying since morning through wtp through phone calls but no response at all . I'm really frustrated , I want my order asap and there service is waykkk waykkkk",1,0,07-05-2026 13:02,"Hi,
Please accept our sincere apology. We are very sorry to know about your experience with us. Please let us know your order number at care@dotandkey.com and we promise to get this resolved quickly. Regards- Team Dot & Key.",11-05-2026 12:18,Negative,Dot & Key App,"Delivery & Orders, Customer Service",2026-05
"Very poor customer support experience. My issue has been going on for days, but instead of providing a proper resolution, the team keeps sending repeated automated replies. Calls get disconnected after long waiting times, WhatsApp support gives no response, and genuine customer concerns are not handled seriously. Extremely disappointing after-sales service.",1,0,07-05-2026 09:32,"Hi, Please accept our sincere apology. We are very sorry to know about your experience with us. Please let us know your order number at care@dotandkey.com and we promise to get this resolved quickly. Regards- Team Dot & Key.

",07-05-2026 11:56,Negative,Dot & Key App,"Delivery & Orders, App Experience, Customer Service",2026-05
Today I was ordering some items but I was not able to checkout. It is taking a longer time and showing error. Please try to resolve the issue so that I can place the order.,3,1,07-05-2026 07:27,"Hi, sorry for the inconvenience caused. We have fixed the issue. Kindly update the app and do give us 5 stars if you're happy with our service. Regards- Team Dot & Key.",07-05-2026 11:55,Neutral,Dot & Key App,Delivery & Orders,2026-05
I love this app,5,0,04-05-2026 17:01,Thank you for taking the time to write this review. Your kind words encourage us greatly. Happy shopping! Regards- Team Dot & Key.,07-05-2026 11:49,Positive,Dot & Key App,App Experience,2026-05
After 2 weeks of waiting today I received my order but ... Out of 3 I got only 2 products...one is missing.. when I asked... they said they cannot refund or cannot send the missing product again.... my loss ...my money has gone .... the product is good But I genuinely say to the buyer that you don't buy from this app.....u may face the problem of delivery..... better you buy from other platforms......,4,0,04-05-2026 10:03,"Hi,
Please accept our sincere apology. We are very sorry to know about your experience with us. Please let us know your order number at care@dotandkey.com and we promise to get this resolved quickly. Regards- Team Dot & Key.",07-05-2026 11:48,Positive,Dot & Key App,"Delivery & Orders, App Experience, Customer Service, Product Quality",2026-05
"I placed my order on the 22th and have already completed the payment, yet there has been no update regarding the delivery status or expected arrival date. I have tried contacting customer support multiple times, but all I receive are automated responses. There is no option to speak with a real person, which makes the situation even more frustrating. This level of service is highly unprofessional. I request you to provide a clear update on my order and ensure it is delivered as soon as possible.",1,1,04-05-2026 09:12,"Hi,
Please accept our sincere apology. We are very sorry to know about your experience with us. Please let us know your order number at care@dotandkey.com and we promise to get this resolved quickly. Regards- Team Dot & Key.",07-05-2026 11:46,Negative,Dot & Key App,"Delivery & Orders, Customer Service",2026-05
excellent products,5,0,04-05-2026 08:26,Thank you for taking the time to write this review. Your kind words encourage us greatly. Happy shopping! Regards- Team Dot & Key.,07-05-2026 11:44,Positive,Dot & Key App,Product Quality,2026-05
it's my first order and I feel happy . I have got same products same quantity and courier service was very great I hve got my first order before time... and I hope the same service in future... thanx,5,0,04-05-2026 07:42,Thank you for taking the time to write this review. Your kind words encourage us greatly. Happy shopping! Regards- Team Dot & Key.,04-05-2026 08:23,Positive,Dot & Key App,"Delivery & Orders, App Experience, Customer Service, Product Quality",2026-05
"Very disappointing experience from this app. This was my first order and it got stuck on ""Order Placed"" for many days. There were no proper updates, and the delivery dates kept changing again and again. Customer support was also not helpful and kept delaying instead of giving a clear solution. Not satisfied at all. This was my first and last order from this app.",1,5,02-05-2026 09:07,"Hi,
Please accept our sincere apology. We are very sorry to know about your experience with us. Please let us know your order number at care@dotandkey.com and we promise to get this resolved quickly. Regards- Team Dot & Key.",04-05-2026 08:25,Negative,Dot & Key App,"Delivery & Orders, App Experience, Customer Service",2026-05
I never wish to order from this app again because neither my payment has been refunded nor my order has been delivered. it's been two months now 😭.,1,0,02-05-2026 06:04,Please accept our sincere apologies. Can you please update the order details here or contact us at care@dotandkey.com so that we can have a look into this right away? Regards- Team Dot & Key.,04-05-2026 08:27,Negative,Dot & Key App,"Delivery & Orders, App Experience, Customer Service",2026-05
"Worst app to purchase from. They don't have a proper coustomer care service, their coustomer care service is totally useless. They don't give any tracking update and keeps telling you to Wait for 40-48hrs saying its technical glitch and their glitch never ends. You have to wait for a very long time 10-15minutes on cll after that they would provide their staff to you for your concern which is totally useless as your problem never gets shorted.Had a prepaid order from this app which I didn't got.",1,1,30-04-2026 16:46,"Hi,
Please accept our sincere apology. We are very sorry to know about your experience with us. Please let us know your order number at care@dotandkey.com and we promise to get this resolved quickly. Regards- Team Dot & Key.",01-05-2026 09:01,Negative,Dot & Key App,"Delivery & Orders, App Experience, Customer Service",2026-04
very expensive,1,0,30-04-2026 16:05,"Dear Customer,
We are sorry that you feel this way. Please do share your feedback along with your contact details at care@dotandkey.com and our team will reach out to you at the earliest. Regards- Team Dot & Key.",01-05-2026 08:59,Negative,Dot & Key App,General,2026-04
I ordered a week ago and it showed will deliver in 4 days but it had been almost 7 to 10 days and I don't have any updates on my order also the customer care service also doesn't pick up calls,2,1,30-04-2026 10:49,"Hi,
Please accept our sincere apology. We are very sorry to know about your experience with us. Please let us know your order number at care@dotandkey.com and we promise to get this resolved quickly. Regards- Team Dot & Key.",01-05-2026 08:58,Negative,Dot & Key App,"Delivery & Orders, Customer Service",2026-04
not good manegment. product are missing in parcal box,1,1,30-04-2026 10:19,"Hi,
Sorry to hear that! We request that you please help us with your order/shipment number at care@dotandkey.com. We will get back to you at the earliest. Regards- Team Dot & Key.",01-05-2026 08:55,Negative,Dot & Key App,Product Quality,2026-04
"I ordered a product from this app, but they sent me the wrong item. The product I received was completely different from what was shown. Very disappointing experience. Customer service was not helpful in resolving the issue. Waste of time and money. I do not recommend this app to others. Overall, a very bad experience.",1,0,30-04-2026 10:18,"Hi,
Please accept our sincere apology. We are very sorry to know about your experience with us. Please let us know your order number at care@dotandkey.com and we promise to get this resolved quickly. Regards- Team Dot & Key.",01-05-2026 08:43,Negative,Dot & Key App,"Delivery & Orders, App Experience, Customer Service, Product Quality",2026-04
worst experience worst customer care we can't reach customer care they are just telling us to wait they are not even contacting on WhatsApp I ordered some products and I already paid but still I haven't got any update neither on WhatsApp neither on email or messages I am trying to contact them but I can't reach I want to cancel my order I want my money back otherwise I'll will complain about you worst app,1,1,30-04-2026 09:37,"Hi,
Please accept our sincere apology. We are very sorry to know about your experience with us. Please let us know your order number at care@dotandkey.com and we promise to get this resolved quickly. Regards- Team Dot & Key.",01-05-2026 08:39,Negative,Dot & Key App,"Delivery & Orders, App Experience, Customer Service, Product Quality",2026-04
Order has been placed on 14th and payment was done expected delivery was 22nd April order is not received yet even helpline people are not guiding properly always same reason wait for 48hrs such an pathetic response,1,0,29-04-2026 12:54,"Hi,
Please accept our sincere apology. We are very sorry to know about your experience with us. Please let us know your order number at care@dotandkey.com and we promise to get this resolved quickly. Regards- Team Dot & Key.",30-04-2026 08:09,Negative,Dot & Key App,"Delivery & Orders, Customer Service",2026-04
"I placed my order on the 26th and have already completed the payment, yet there has been no update regarding the delivery status or expected arrival date. I have tried contacting customer support multiple times, but all I receive are automated responses. There is no option to speak with a real person, which makes the situation even more frustrating. This level of service is highly unprofessional. I request you to provide a clear update on my order and ensure it is delivered as soon as possible.",1,9,29-04-2026 11:40,"Hi,
Please accept our sincere apology. We are very sorry to know about your experience with us. Please let us know your order number at care@dotandkey.com and we promise to get this resolved quickly. Regards- Team Dot & Key.",30-04-2026 08:06,Negative,Dot & Key App,"Delivery & Orders, Customer Service",2026-04
"I have ordered products from this app on 21 th March and i still didn't get my package. it has been automatically returned and i waited more than a month and still no products arrive or my refund. They still didn't give me a clear answer for my refund, when i called customer service they told they have already send me my refund on 15 th March which is an obvious lie because when i gmailed and whatsapped about it they denied me of refunded. Absolute robbery . Never recommend for anyone",1,2,29-04-2026 09:48,"Hi,
Please accept our sincere apology. We are very sorry to know about your experience with us. Please let us know your order number at care@dotandkey.com and we promise to get this resolved quickly. Regards- Team Dot & Key.",30-04-2026 08:04,Negative,Dot & Key App,"Delivery & Orders, App Experience, Customer Service, Product Quality",2026-04
However the products are good but the experience with the delievery is worst. i placed my order on 23rd and its 29 today and no actual message/mail or any co firmation if shipment is provided by the team they have hired. Although no answers they have. All they say is soory of inconvenience we have sale etctc so delay is begin happened. Pathetic delivery service. Dot&Key if your not able to manage the delivery within the timeline mentioned then dont sell your products via app. Worst very Baddd,1,1,29-04-2026 07:51,"Hi,
Please accept our sincere apology. We are very sorry to know about your experience with us. Please let us know your order number at care@dotandkey.com and we promise to get this resolved quickly. Regards- Team Dot & Key.",30-04-2026 08:00,Negative,Dot & Key App,"Delivery & Orders, App Experience, Customer Service, Product Quality",2026-04
Very disappointing experience. My order delivery date was extended multiple times without proper updates. Had to cancel the order. Please improve your service and delivery management. payment was already done but showing any confirmation and tracking issue.. not any response from customer service...so i cancelled the order if not accountable for the service why started this kind of offers my first and last purchase from this brand and apl,1,1,29-04-2026 06:59,"Hi,
Please accept our sincere apology. We are very sorry to know about your experience with us. Please let us know your order number at care@dotandkey.com and we promise to get this resolved quickly. Regards- Team Dot & Key.",30-04-2026 07:59,Negative,Dot & Key App,"Delivery & Orders, App Experience, Customer Service",2026-04
Fraud app... customer service is also third class... from 3 days order is laying in my city but they are not delivering.,1,0,29-04-2026 04:47,"Hi,
Please accept our sincere apology. We are very sorry to know about your experience with us. Please let us know your order number at care@dotandkey.com and we promise to get this resolved quickly. Regards- Team Dot & Key.",30-04-2026 07:56,Negative,Dot & Key App,"Delivery & Orders, App Experience, Customer Service",2026-04
this app is good,5,0,27-04-2026 16:17,"Thanks for the 5 star rating. Hope you continue to enjoy reading news on our app. If you have any feedback or suggestions, please write to us at care@dotandkey.com. We would love to hear from you! Regards- Team Dot & Key.",30-04-2026 07:45,Positive,Dot & Key App,App Experience,2026-04
"This is My first order from dot & key was a very bad experience. I ordered 5 products and received only 1 product and I did not receive 2 free gifts either. This happened to me and I talked to customer care and email also but did not get any response. Guys I am very disappointed, this was my first order. And I had made the payment online but you guys should not do it because this company can scam you guys also.",1,1,27-04-2026 12:26,We apologize for the disappointment. Please share the order details with us at care@dotandkey.com. We will get in touch with you and do the needful. Thanks. Regards- Team Dot & Key.,30-04-2026 07:49,Negative,Dot & Key App,"Delivery & Orders, App Experience, Customer Service, Product Quality",2026-04
effective,5,0,27-04-2026 07:24,"We are pleased that you enjoyed the app. If there is anything we can do for you, just let us know at care@dotandkey.com!
Have a wonderful day! Regards- Team Dot & Key.",27-04-2026 08:16,Positive,Dot & Key App,General,2026-04
how long will it take for the delivery to arrive it's been so long I can't even remember when I ordered and there's no tracking update what the,1,0,26-04-2026 23:02,"Hi,
Sorry to hear that! We request that you please help us with your order/shipment number at care@dotandkey.com. We will get back to you at the earliest. Regards- Team Dot & Key.",27-04-2026 08:17,Negative,Dot & Key App,Delivery & Orders,2026-04
very bad experience yaha per dilevery boy bilkul bakwas hai batmeezi karte hai costumer se baat karne ke tarike nhi hai bhout kharab service ke hai Indore me or ese logo ko rakh kese lete hai very bad performance for dot and key,1,0,26-04-2026 08:45,"Hi, Sorry to hear that! We request that you please help us with your order/shipment number at care@dotandkey.com. We will get back to you at the earliest. Regards- Team Dot & Key.",27-04-2026 08:20,Negative,Dot & Key App,Customer Service,2026-04
I gave zero rating to this app because I order some products from this app and still i am not received my order I am waiting for my order I know their products are excellent but the delivery service is worst & i also complaint call to the helpline number&the customer care so first of all ai is talking & connected the call to a employee and he said Due to our biggest sale there is a high volume of orders and the supply chain is experiencing a slight delay do these reason I hate dot and key..,1,1,26-04-2026 08:32,"Hi,
Please accept our sincere apology. We are very sorry to know about your experience with us. Please let us know your order number at care@dotandkey.com and we promise to get this resolved quickly. Regards- Team Dot & Key.",27-04-2026 08:23,Negative,Dot & Key App,"Delivery & Orders, App Experience, Customer Service, Product Quality",2026-04
cod not available 😭,2,0,26-04-2026 07:23,"Hi, please share the details of your issue at care@dotandkey.com so that we can look into it & assist you in the best possible way. Regards- Team Dot & Key.",27-04-2026 08:26,Negative,Dot & Key App,General,2026-04
bahut hi bekar product hai..bechte kuch or hai dete kuch or hai.. or product bhi missing hote hai,1,0,26-04-2026 06:18,"Hi, please share the details of your issue at care@dotandkey.com so that we can look into it & assist you in the best possible way. Regards- Team Dot & Key.

",27-04-2026 08:27,Negative,Dot & Key App,Product Quality,2026-04
The order is not being tracked and delivery date is also not showing,1,0,25-04-2026 13:38,"Hi,
Sorry to hear that! We request that you please help us with your order/shipment number at care@dotandkey.com. We will get back to you at the earliest. Regards- Team Dot & Key.",27-04-2026 08:28,Negative,Dot & Key App,Delivery & Orders,2026-04
I found a freaking insect inside my sunscreen bottle. sent them multiple mails addressing the issue. but no help. I loved this brand but after this i absolutely hate dot and key. never buying another product from them ever again!!,1,0,25-04-2026 13:08,"Hi,
Sorry to hear that! We request that you please help us with your order/shipment number at care@dotandkey.com. We will get back to you at the earliest. Regards- Team Dot & Key.",27-04-2026 08:30,Negative,Dot & Key App,Product Quality,2026-04
this is amazing website the all shopping price is low,5,0,25-04-2026 10:41,Thank you for taking the time to write this review. Your kind words encourage us greatly. Happy shopping! Regards- Team Dot & Key.,27-04-2026 08:16,Positive,Dot & Key App,General,2026-04
product is nice but delivery service is poor,3,0,24-04-2026 16:30,"Hi,
Please accept our sincere apology. We are very sorry to know about your experience with us. Please let us know your order number at care@dotandkey.com and we promise to get this resolved quickly. Regards- Team Dot & Key.",25-04-2026 07:35,Neutral,Dot & Key App,"Delivery & Orders, Customer Service, Product Quality",2026-04
Too much expensive products😂.,4,0,24-04-2026 14:11,"Thank you for providing your valuable feedback. Please reach out to us at care@dotandkey.com, if you have other suggestions. Regards- Team Dot & Key.",25-04-2026 07:32,Positive,Dot & Key App,Product Quality,2026-04
the product doesn't delivered on the time it always deliveres late and I am very disappointed with the products and their delivery services it's was my first time but it was my worst experience ever . it was the worst app i have ever purchased products,1,0,24-04-2026 12:42,"Hi,
Please accept our sincere apology. We are very sorry to know about your experience with us. Please let us know your order number at care@dotandkey.com and we promise to get this resolved quickly. Regards- Team Dot & Key.",25-04-2026 07:30,Negative,Dot & Key App,"Delivery & Orders, App Experience, Customer Service, Product Quality",2026-04
The products are good no doubt but the delivers it very late the app shows delivery in 3 days but takes more than week,2,1,24-04-2026 05:25,"Hi,
Please accept our sincere apology. We are very sorry to know about your experience with us. Please let us know your order number at care@dotandkey.com and we promise to get this resolved quickly. Regards- Team Dot & Key.",24-04-2026 08:42,Negative,Dot & Key App,"Delivery & Orders, App Experience, Product Quality",2026-04
"I placed my order but didn't show in my order history, horrible customer suport, app is hilarious, they should improve their app rater tha। advertisement,",1,0,23-04-2026 16:03,"Hi,
Sorry to hear that! We request that you please help us with your order/shipment number at care@dotandkey.com. We will get back to you at the earliest. Regards- Team Dot & Key.",24-04-2026 08:45,Negative,Dot & Key App,"Delivery & Orders, App Experience, Customer Service",2026-04
I have ordered from dot key app but I have not receive the order yet and tracking is not even working and there is no email and nothing and dotin and key this is worst I have ever had,1,0,23-04-2026 12:29,"Hi, we would like to fix this. As we don't have your email address, can you please write to us at care@dotandkey.com so that we can help you better. We look forward to your email. Regards- Team Dot & Key.",24-04-2026 08:47,Negative,Dot & Key App,"Delivery & Orders, App Experience",2026-04
"My experience was not satisfactory. I reached out for assistance, but I did not receive the help I needed. There seems to be a lack of proper support and responsiveness. I would appreciate it if the team could work on improving their service quality.I would not recommend this service based on my experience.",1,1,23-04-2026 07:14,"Hi,
Please accept our sincere apology. We are very sorry to know about your experience with us. Please let us know your order number at care@dotandkey.com and we promise to get this resolved quickly. Regards- Team Dot & Key.",24-04-2026 08:50,Negative,Dot & Key App,"App Experience, Customer Service",2026-04
worst app order placed not received not cancelled,1,0,23-04-2026 02:17,We apologize for the disappointment. Please share the order details with us at care@dotandkey.com. We will get in touch with you and do the needful. Thanks. Regards- Team Dot & Key.,24-04-2026 08:51,Negative,Dot & Key App,"Delivery & Orders, App Experience",2026-04
bkwas app h,2,0,21-04-2026 07:57,We are sad to know that your experience on the app was not satisfactory. Please share your issue with us at care@dotandkey.com and we will look into it at the earliest. Regards- Team Dot & Key.,24-04-2026 08:52,Negative,Dot & Key App,App Experience,2026-04
very nice experience,4,0,20-04-2026 06:07,Thank you for taking the time to write this review. Your kind words encourage us greatly. Happy shopping! Regards- Team Dot & Key.,20-04-2026 06:03,Positive,Dot & Key App,General,2026-04
incomplete order and few items missing,1,0,19-04-2026 05:51,Please accept our sincere apologies. Can you please update the order details here or contact us at care@dotandkey.com so that we can have a look into this right away? Regards- Team Dot & Key.,20-04-2026 06:16,Negative,Dot & Key App,Delivery & Orders,2026-04
very bad app dnlod kro toh hota nhi boht c prblms aai esko krne mh very bad app 😤😑,1,0,18-04-2026 16:58,We apologize for the disappointment. Please share the order details with us at care@dotandkey.com. We will get in touch with you and do the needful. Thanks. Regards- Team Dot & Key.,20-04-2026 06:14,Negative,Dot & Key App,App Experience,2026-04
fraud app... so as the customer service.,1,0,18-04-2026 13:41,We apologize for the disappointment. Please share the order details with us at care@dotandkey.com. We will get in touch with you and do the needful. Thanks. Regards- Team Dot & Key.,20-04-2026 06:12,Negative,Dot & Key App,"App Experience, Customer Service",2026-04
good 👍🏻😊,4,0,18-04-2026 06:34,"Thanks a lot! If you'd like to suggest a feature or an improvement to the app, please write in to us at care@dotandkey.com. We'll do our best to incorporate the same and earn a five star rating from you. Regards- Team Dot & Key.",20-04-2026 06:04,Positive,Dot & Key App,General,2026-04
I like it that grily pfp still lov how it simple all of things package is so crazy n cutee but but i heat when i see pr package reels were influencers got soo many cute Keychains cute boxx way cant customer don't have these things i mean if we really to ready to pay for them dot n key its request that pls make some cute Keychains n charm's do reach to ur customer tooo we also deserve that right💯💓,4,0,17-04-2026 17:52,"Thank you for providing your valuable feedback. Please reach out to us at care@dotandkey.com, if you have other suggestions. Regards- Team Dot & Key.",20-04-2026 06:06,Positive,Dot & Key App,Customer Service,2026-04
"Zero coustomer Value, They write 3days delivery and take 300 days to deliver a parcel, Quit the service if you don't wanna take it seriously, My order is stuck at one place for 3 days , either change your delivery partner or shut your service down",1,0,17-04-2026 07:01,"Hi,
Please accept our sincere apology. We are very sorry to know about your experience with us. Please let us know your order number at care@dotandkey.com and we promise to get this resolved quickly. Regards- Team Dot & Key.",20-04-2026 06:10,Negative,Dot & Key App,"Delivery & Orders, Customer Service",2026-04
Customer Support is useless.. i done 2 same orders by mistake and they are refusing to return it.. i had not opened the order yet but they are not listening..,1,0,17-04-2026 05:41,"Hi,
Please accept our sincere apology. We are very sorry to know about your experience with us. Please let us know your order number at care@dotandkey.com and we promise to get this resolved quickly. Regards- Team Dot & Key.",20-04-2026 06:08,Negative,Dot & Key App,"Delivery & Orders, Customer Service",2026-04
"Worst app experience ever. I placed an order for sunscreen and the payment was successfully debited from my account, but there is no order showing in the app. I also didn’t receive any confirmation message or email. When I contacted customer support, they said it’s not their problem. How can a payment be successful but the order does not exist? There is also no proper response from the support team. Very disappointing service.",5,31,17-04-2026 03:43,"Hi, we are sorry that you faced an issue. Could you please share your contact details with us on care@dotandkey.com so that we can get in touch with you and resolve the issue. Regards- Team Dot & Key.",16-03-2026 05:10,Positive,Dot & Key App,"Delivery & Orders, App Experience, Customer Service, Product Quality",2026-04
its just suits really good💖 me😭❤️‍🩹,5,2,16-04-2026 15:26,Thank you for taking the time to write this review. Your kind words encourage us greatly. Happy shopping! Regards- Team Dot & Key.,20-04-2026 06:06,Positive,Dot & Key App,General,2026-04
Extremely disappointed with Dot & Key. My order was delayed for more than 20 days and then cancelled without proper support. Their customer service is unreliable and they clearly don’t value their customers.,1,1,16-04-2026 05:55,"Hi,
Please accept our sincere apology. We are very sorry to know about your experience with us. Please let us know your order number at care@dotandkey.com and we promise to get this resolved quickly. Regards- Team Dot & Key.",16-04-2026 09:48,Negative,Dot & Key App,"Delivery & Orders, App Experience, Customer Service",2026-04
im happy whit this app my oder dilay but i recived my oder save n nice packing thank you dot & key team,5,0,16-04-2026 04:21,"Thank you for taking the time to write this review. Your kind words encourage us greatly. Happy shopping! Regards- Team Dot & Key.

",16-04-2026 09:28,Positive,Dot & Key App,App Experience,2026-04
I love all skin care products n the most beautiful results are very nice I am using a product n I am satisfied Thank u....,5,0,15-04-2026 18:32,"Thank you for taking the time to write this review. Your kind words encourage us greatly. Happy shopping! Regards- Team Dot & Key.

",16-04-2026 09:28,Positive,Dot & Key App,Product Quality,2026-04
I have ordered suncream and it's heaven,5,0,15-04-2026 17:04,Thank you for taking the time to write this review. Your kind words encourage us greatly. Happy shopping! Regards- Team Dot & Key.,16-04-2026 09:28,Positive,Dot & Key App,"Delivery & Orders, Product Quality",2026-04
I loveeee thissss so muchhhhh!! im totally in love with dot & key skincare productss !! my req to dot & key to give me also a gift product !!😭😭🥀💖,5,0,14-04-2026 12:44,Thank you for taking the time to write this review. Your kind words encourage us greatly. Happy shopping! Regards- Team Dot & Key.,16-04-2026 09:28,Positive,Dot & Key App,Product Quality,2026-04
broooooi best ever like bestttttttttttttttttt but as i am a teenager the price is a little out of budget for mee but probucts are really nice pls make something cost effective love u and your products,5,0,14-04-2026 06:45,"Thank you for taking the time to write this review. Your kind words encourage us greatly. Happy shopping! Regards- Team Dot & Key.
",16-04-2026 09:28,Positive,Dot & Key App,Product Quality,2026-04
good,5,0,14-04-2026 05:20,"Thank you for taking the time to write this review. Your kind words encourage us greatly. Happy shopping! Regards- Team Dot & Key.
",16-04-2026 09:27,Positive,Dot & Key App,General,2026-04
I have placed 3 orders till now from app bt none of the orders are visible in orders section & when raised a complaint they just ask to do basic things like re-installing app or signing in again to app which basically anyone would have done already & no further help except our team is working on it.In my recent orders package was open from downside & one product was also missing while raising the concern several times I just got that they do their checks & they can't do anything worst experience,1,0,14-04-2026 03:33,"Hi, Please accept our sincere apology. We are very sorry to know about your experience with us. Please let us know your order number at care@dotandkey.com and we promise to get this resolved quickly. Regards- Team Dot & Key.
",16-04-2026 09:46,Negative,Dot & Key App,"Delivery & Orders, App Experience, Product Quality",2026-04
Got team supported,3,0,13-04-2026 12:46,"Hi,
Please accept our sincere apology. We are very sorry to know about your experience with us. Please let us know your order number at care@dotandkey.com and we promise to get this resolved quickly. Regards- Team Dot & Key.",06-04-2026 07:47,Neutral,Dot & Key App,Customer Service,2026-04
WORST experience. My order was not delivered and even my refund is not initiated. No proper response from the Support. Do not do prepaid orders for this brand. worst experience till date.,1,0,12-04-2026 09:33,"Hi,
Please accept our sincere apology. We are very sorry to know about your experience with us. Please let us know your order number at care@dotandkey.com and we promise to get this resolved quickly. Regards- Team Dot & Key.",13-04-2026 08:39,Negative,Dot & Key App,"Delivery & Orders, Customer Service",2026-04
it's good 👍,5,0,11-04-2026 14:33,Thank you for taking the time to write this review. Your kind words encourage us greatly. Happy shopping! Regards- Team Dot & Key.,13-04-2026 08:37,Positive,Dot & Key App,General,2026-04
amazing products and veey fast delivery,5,0,11-04-2026 12:54,Thank you for taking the time to write this review. Your kind words encourage us greatly. Happy shopping! Regards- Team Dot & Key.,13-04-2026 08:36,Positive,Dot & Key App,"Delivery & Orders, Product Quality",2026-04
"very nice,soot on every skin type",5,1,11-04-2026 12:43,Thank you for taking the time to write this review. Your kind words encourage us greatly. Happy shopping! Regards- Team Dot & Key.,13-04-2026 08:36,Positive,Dot & Key App,Product Quality,2026-04
very good,5,0,11-04-2026 07:40,"Thanks for the 5 star rating. Hope you continue to enjoy reading news on our app. If you have any feedback or suggestions, please write to us at care@dotandkey.com. We would love to hear from you! Regards- Team Dot & Key.",13-04-2026 08:36,Positive,Dot & Key App,General,2026-04
